Frame #: 10, Time: 304.0, Tracker ID: 1, Class: spoon,  Coordinates: (383, 566, 648, 629), Centroids: (707.0, 880.5)
Frame #: 10, Time: 304.0, Tracker ID: 2, Class: person,  Coordinates: (571, 0, 1250, 720), Centroids: (1196.0, 360.0)
Frame #: 10, Time: 304.0, Tracker ID: 3, Class: knife,  Coordinates: (102, 524, 514, 624), Centroids: (359.0, 836.0)
Frame #: 11, Time: 336.03333333333336, Tracker ID: 1, Class: spoon,  Coordinates: (384, 567, 644, 629), Centroids: (706.0, 881.5)
Frame #: 11, Time: 336.03333333333336, Tracker ID: 1, Class: spoon,  Coordinates: (384, 567, 644, 629), Centroids: (706.0, 881.5)
Frame #: 11, Time: 336.03333333333336, Tracker ID: 2, Class: person,  Coordinates: (563, 0, 1246, 720), Centroids: (1186.0, 360.0)
Frame #: 11, Time: 336.03333333333336, Tracker ID: 1, Class: spoon,  Coordinates: (384, 567, 644, 629), Centroids: (706.0, 881.5)
Frame #: 11, Time: 336.03333333333336, Tracker ID: 2, Class: person,  Coordinates: (563, 0, 1246, 720), Centroids: (1186.0, 360.0)
Frame #: 11, Time: 336.03333333333336, Tracker ID: 3, Class: knife,  Coordinates: (102, 523, 514, 624), Centroids: (359.0, 835.0)
Frame #: 12, Time: 368.1, Tracker ID: 1, Class: spoon,  Coordinates: (383, 567, 644, 629), Centroids: (705.0, 881.5)
Frame #: 12, Time: 368.1, Tracker ID: 1, Class: spoon,  Coordinates: (383, 567, 644, 629), Centroids: (705.0, 881.5)
Frame #: 12, Time: 368.1, Tracker ID: 2, Class: person,  Coordinates: (557, 0, 1245, 720), Centroids: (1179.5, 360.0)
Frame #: 12, Time: 368.1, Tracker ID: 1, Class: spoon,  Coordinates: (383, 567, 644, 629), Centroids: (705.0, 881.5)
Frame #: 12, Time: 368.1, Tracker ID: 2, Class: person,  Coordinates: (557, 0, 1245, 720), Centroids: (1179.5, 360.0)
Frame #: 12, Time: 368.1, Tracker ID: 3, Class: knife,  Coordinates: (98, 523, 517, 626), Centroids: (356.5, 836.0)
Frame #: 13, Time: 400.1333333333333, Tracker ID: 1, Class: spoon,  Coordinates: (384, 567, 642, 629), Centroids: (705.0, 881.5)
Frame #: 13, Time: 400.1333333333333, Tracker ID: 1, Class: spoon,  Coordinates: (384, 567, 642, 629), Centroids: (705.0, 881.5)
Frame #: 13, Time: 400.1333333333333, Tracker ID: 2, Class: person,  Coordinates: (552, 0, 1244, 720), Centroids: (1174.0, 360.0)
Frame #: 13, Time: 400.1333333333333, Tracker ID: 1, Class: spoon,  Coordinates: (384, 567, 642, 629), Centroids: (705.0, 881.5)
Frame #: 13, Time: 400.1333333333333, Tracker ID: 2, Class: person,  Coordinates: (552, 0, 1244, 720), Centroids: (1174.0, 360.0)
Frame #: 13, Time: 400.1333333333333, Tracker ID: 3, Class: knife,  Coordinates: (95, 523, 517, 626), Centroids: (353.5, 836.0)
Frame #: 14, Time: 432.03333333333336, Tracker ID: 1, Class: spoon,  Coordinates: (385, 567, 643, 629), Centroids: (706.5, 881.5)
Frame #: 14, Time: 432.03333333333336, Tracker ID: 1, Class: spoon,  Coordinates: (385, 567, 643, 629), Centroids: (706.5, 881.5)
Frame #: 14, Time: 432.03333333333336, Tracker ID: 2, Class: person,  Coordinates: (528, 0, 1230, 720), Centroids: (1143.0, 360.0)
Frame #: 14, Time: 432.03333333333336, Tracker ID: 1, Class: spoon,  Coordinates: (385, 567, 643, 629), Centroids: (706.5, 881.5)
Frame #: 14, Time: 432.03333333333336, Tracker ID: 2, Class: person,  Coordinates: (528, 0, 1230, 720), Centroids: (1143.0, 360.0)
Frame #: 14, Time: 432.03333333333336, Tracker ID: 3, Class: knife,  Coordinates: (105, 520, 526, 622), Centroids: (368.0, 831.0)
Frame #: 15, Time: 464.03333333333336, Tracker ID: 1, Class: spoon,  Coordinates: (385, 567, 645, 630), Centroids: (707.5, 882.0)
Frame #: 15, Time: 464.03333333333336, Tracker ID: 1, Class: spoon,  Coordinates: (385, 567, 645, 630), Centroids: (707.5, 882.0)
Frame #: 15, Time: 464.03333333333336, Tracker ID: 2, Class: person,  Coordinates: (510, 0, 1224, 720), Centroids: (1122.0, 360.0)
Frame #: 15, Time: 464.03333333333336, Tracker ID: 1, Class: spoon,  Coordinates: (385, 567, 645, 630), Centroids: (707.5, 882.0)
Frame #: 15, Time: 464.03333333333336, Tracker ID: 2, Class: person,  Coordinates: (510, 0, 1224, 720), Centroids: (1122.0, 360.0)
Frame #: 15, Time: 464.03333333333336, Tracker ID: 3, Class: knife,  Coordinates: (106, 515, 545, 620), Centroids: (378.5, 825.0)
Frame #: 16, Time: 496.1, Tracker ID: 1, Class: spoon,  Coordinates: (384, 567, 645, 630), Centroids: (706.5, 882.0)
Frame #: 16, Time: 496.1, Tracker ID: 1, Class: spoon,  Coordinates: (384, 567, 645, 630), Centroids: (706.5, 882.0)
Frame #: 16, Time: 496.1, Tracker ID: 2, Class: person,  Coordinates: (497, 0, 1222, 720), Centroids: (1108.0, 360.0)
Frame #: 16, Time: 496.1, Tracker ID: 1, Class: spoon,  Coordinates: (384, 567, 645, 630), Centroids: (706.5, 882.0)
Frame #: 16, Time: 496.1, Tracker ID: 2, Class: person,  Coordinates: (497, 0, 1222, 720), Centroids: (1108.0, 360.0)
Frame #: 16, Time: 496.1, Tracker ID: 3, Class: knife,  Coordinates: (104, 512, 556, 618), Centroids: (382.0, 821.0)
Frame #: 17, Time: 528.1666666666666, Tracker ID: 1, Class: spoon,  Coordinates: (383, 567, 645, 630), Centroids: (705.5, 882.0)
Frame #: 17, Time: 528.1666666666666, Tracker ID: 1, Class: spoon,  Coordinates: (383, 567, 645, 630), Centroids: (705.5, 882.0)
Frame #: 17, Time: 528.1666666666666, Tracker ID: 2, Class: person,  Coordinates: (480, 0, 1218, 720), Centroids: (1089.0, 360.0)
Frame #: 17, Time: 528.1666666666666, Tracker ID: 1, Class: spoon,  Coordinates: (383, 567, 645, 630), Centroids: (705.5, 882.0)
Frame #: 17, Time: 528.1666666666666, Tracker ID: 2, Class: person,  Coordinates: (480, 0, 1218, 720), Centroids: (1089.0, 360.0)
Frame #: 17, Time: 528.1666666666666, Tracker ID: 3, Class: knife,  Coordinates: (89, 512, 548, 620), Centroids: (363.0, 822.0)
Frame #: 18, Time: 560.1333333333333, Tracker ID: 1, Class: spoon,  Coordinates: (384, 567, 643, 630), Centroids: (705.5, 882.0)
Frame #: 18, Time: 560.1333333333333, Tracker ID: 1, Class: spoon,  Coordinates: (384, 567, 643, 630), Centroids: (705.5, 882.0)
Frame #: 18, Time: 560.1333333333333, Tracker ID: 2, Class: person,  Coordinates: (475, 0, 1223, 720), Centroids: (1086.5, 360.0)
Frame #: 18, Time: 560.1333333333333, Tracker ID: 1, Class: spoon,  Coordinates: (384, 567, 643, 630), Centroids: (705.5, 882.0)
Frame #: 18, Time: 560.1333333333333, Tracker ID: 2, Class: person,  Coordinates: (475, 0, 1223, 720), Centroids: (1086.5, 360.0)
Frame #: 18, Time: 560.1333333333333, Tracker ID: 3, Class: knife,  Coordinates: (96, 515, 543, 619), Centroids: (367.5, 824.5)
